Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Acceleration,Cars Prices,Fuel Types,Seats,Torque
FERRARI,SF90 STRADALE,V8,,963,340 km/h,2.0,1100000.0,plug in hyrbrid,2,800.0
ROLLS ROYCE,PHANTOM,V12,,563,250 km/h,5.0,460000.0,Petrol,5,900.0
Ford,KA+,1.2L Petrol,,70,165 km/h,10.0,12000.0,Petrol,5,100.0
MERCEDES, GT 63 S,V8,,630,250 km/h,3.0,161000.0,Petrol,4,900.0
AUDI,AUDI R8 Gt,V10,,602,320 km/h,3.0,253290.0,Petrol,2,560.0
BMW,Mclaren 720s,V8,,710,341 km/h,2.0,499000.0,Petrol,2,770.0
ASTON MARTIN,VANTAGE F1,V8,,656,314 km/h,3.0,193440.0,Petrol,2,685.0
BENTLEY,Continental GT Azure,V8,,550,318 km/h,4.0,311000.0,Petrol,4,900.0
LAMBORGHINI,VENENO ROADSTER,V12,,750,356 km/h,2.0,4500000.0,Petrol,2,690.0
FERRARI,F8 TRIBUTO,V8,,710,340 km/h,2.0,280000.0,Petrol,2,770.0
FERRARI,812 GTS,V12,,789,340 km/h,2.0,350000.0,Petrol,2,718.0
FERRARI,PORTOFINO,V8,,592,320 km/h,3.0,210000.0,Petrol,2+2,760.0
FERRARI,ROMA,V8,,612,320 km/h,3.0,230000.0,Petrol,2+2,760.0
FERRARI,MONZA SP2,V12,,789,340 km/h,2.0,1700000.0,Petrol,2,719.0
FERRARI,F8 SPIDER,V8,,710,340 km/h,2.0,280000.0,Petrol,2,770.0
FERRARI,PORTOFINO M,V8,,612,320 km/h,3.0,220000.0,Petrol,2+2,760.0
FERRARI,ROMA SPIDER,V8,,612,320 km/h,3.0,240000.0,Petrol,2+2,760.0
TOYOTA,GR SUPRA,I4,,382,250 km/h,4.0,53900.0,Petrol,2,500.0
TOYOTA,TOYOTA 86,BOXER-4,,205,226 km/h,6.0,27000.0,Petrol,2+2,205.0
TOYOTA,TOYOTA  GR86,BOXER-4,,228,226 km/h,5.0,30000.0,Petrol,4,250.0
TOYOTA,TOYOTA LAND CRUISER,V8,,381,220 km/h,6.0,85000.0,Diesel,7,500.0
TOYOTA,TOYOTA SEQUOIA,V8,,381,200 km/h,6.0,50000.0,Petrol,7,651.0
NISSAN,GT-R,V6,,600,315 km/h,2.0,113000.0,Petrol,4,637.0
NISSAN,370Z,V6,,332,250 km/h,4.0,30000.0,Petrol,2,366.0
NISSAN,Z PROTO,V6,,400,290 km/h,4.0,40000.0,Petrol,2,475.0
